Year,District,Mean ET (mm),Mean NDVI,Max temp(K),Min temp(K),DPT(K),Relative Humidity,Precipitation (mm),Area,Production
2014-15,Ahmadabad,20.60553587,0.380714886,307.7085063,288.0897042,285.9212929,47.3234681,5.271994905,216.5,136.44
2015-16,Ahmadabad,14.98043128,0.387206299,308.1757074,288.1166593,284.5883878,42.71640012,0.184218797,171.3,108.12
2016?17,Ahmadabad,18.91195264,0.496581555,307.858083,287.830532,285.2501656,45.43252968,1.375988337,124.15,78.99
2017?18,Ahmadabad,18.67573859,0.488892691,308.2638687,287.1977376,285.0123364,45.03026104,1.016813058,197.77,119.48
2018?19,Ahmadabad,14.38545368,0.419651134,308.31942,286.8658381,283.3300316,40.60605442,0.122405511,169.53,95.54
2019-20,Ahmadabad,38.75835589,0.391211699,306.3624361,289.2182777,287.1847154,51.71614963,4.570400937,146.01,88.66
2020-21,Ahmadabad,25.48816484,0.36618305,307.5819041,288.0705457,285.400331,45.93293833,0.773099205,123.73,76.64
2021-22,Ahmadabad,27.09902676,0.408356074,306.3208102,287.5250218,285.5320693,48.90590577,3.518959285,49.5,32.06
2014-15,Amreli,19.99403752,0.469030709,307.699489,288.9339472,285.2328515,44.12241289,4.848174676,4.63,2.23
2015-16,Amreli,17.40835579,0.494164673,308.7890953,289.6340811,283.8255373,38.12343168,0.819891238,12.34,4.36
2016?17,Amreli,24.88474389,0.29122554,308.7386637,287.5931114,283.5261241,39.7589492,0.982827635,9.14,3.2
2017?18,Amreli,19.78661699,0.412996434,308.2870935,287.3632189,284.4458418,43.13224399,1.484660713,12.56,9.95
2018?19,Amreli,12.84772442,0.490840255,309.4883376,289.2937932,282.1800168,33.78383427,0.138641692,9.03,5.17
2019-20,Amreli,39.29653678,0.478218606,306.654265,289.0157317,286.7149892,50.02954592,4.848876042,41.83,32.59
2020-21,Amreli,29.60594069,0.329494805,307.809948,287.7319553,284.6232018,43.78287739,0.630847597,53.19,23.95
2021-22,Amreli,31.51584663,0.46224695,306.3912776,287.2434314,285.1680828,48.05313049,3.234801259,37.54,33.43
2014-15,Anand,32.11811561,0.149411757,307.9215294,287.7619359,286.3255393,48.7567309,5.931573093,0.47,0.32
2015-16,Anand,24.84117402,0.50931598,308.4794731,287.4968985,285.0626534,44.49178278,0.289183203,2.24,1.53
2016?17,Anand,30.32730918,0.490114158,307.9986381,287.8053962,285.5267033,46.10701422,1.206892797,0,0
2017?18,Anand,26.61384929,0.45635844,308.3365372,288.5816958,285.641719,44.94216557,1.330279998,0.31,0.25
2018?19,Anand,27.09939301,0.35587509,308.4426642,289.4479651,283.8455584,38.77951504,0.09007542,0,0
2019-20,Anand,47.98391237,0.429660867,306.6014589,288.7054281,287.6417719,53.70490605,5.02444167,0,0
2020-21,Anand,34.61919942,0.483409362,307.7723792,287.381331,285.8664993,48.0696898,1.486809479,0,0
2021-22,Anand,32.28183724,0.471445084,306.4648355,288.7714012,285.9298053,48.15046509,3.187396785,0.11,0.08
2014-15,Arvalli,28.73602127,0.363781449,306.9697359,286.673112,285.3632867,48.66239219,5.371226303,1.65,1.11
2015-16,Arvalli,23.80895113,0.386038894,307.6141375,288.5270724,284.0604765,41.43319903,0.226219482,2.81,1.92
2016?17,Arvalli,30.08365064,0.387278792,307.4804446,287.4098451,284.3272998,43.77722521,2.050540041,1.94,1.45
2017?18,Arvalli,27.28509286,0.494285253,307.556211,287.6372155,284.2186965,43.07099511,1.088968328,0.3,0.24
2018?19,Arvalli,27.97647731,0.433906939,306.9352642,287.580596,283.4827884,41.8521406,0.153494636,0.76,0.44
2019-20,Arvalli,46.4199297,0.368678695,305.6049207,289.0275607,286.3939984,50.53717252,6.990175559,0.72,0.56
2020-21,Arvalli,32.45472454,0.421452082,306.6240882,287.8542348,285.0461857,46.47735692,1.870826226,0.92,0.78
2021-22,Arvalli,35.36314963,0.508933366,305.3914237,288.0231818,284.8836812,47.47370007,4.772904965,0.2,0.14
2014-15,Banas Kantha,20.45908197,0.46513054,307.5381412,287.2502015,281.6579469,36.71845669,1.249569992,685.14,424.31
2015-16,Banas Kantha,19.40800705,0.348518217,307.188143,285.3927927,281.387627,38.52364389,0.115490099,621,357.39
2016?17,Banas Kantha,21.89969246,0.377822929,306.9401515,288.2315064,282.7881967,39.1747944,3.854570097,649.1,486.15
2017?18,Banas Kantha,20.51926714,0.469466153,307.7242785,288.2523302,280.9797964,33.84332594,0.477594746,705.14,658.81
2018?19,Banas Kantha,18.31851033,0.469458541,307.6000329,287.5802264,279.0344215,30.32357305,0.250826058,719.52,492.75
2019-20,Banas Kantha,34.66565511,0.419700892,306.2284712,287.4103016,282.8891824,41.2949384,5.981637182,851.15,695.9
2020-21,Banas Kantha,24.9887435,0.38680492,306.6986091,286.7323029,281.6479971,38.21870163,0.655565879,772.08,807.51
2021-22,Banas Kantha,28.4053255,0.34220569,305.7770531,288.2710174,282.0647842,38.58924997,4.00134894,508.67,373.59
2014-15,Bharuch,21.46687724,0.355556904,307.1875916,289.2149032,287.356326,51.02968563,5.192632157,0,0
2015-16,Bharuch,17.41030783,0.449739243,307.6657804,290.1631753,286.6682615,46.78019059,0.870310899,0,0
2016?17,Bharuch,22.74071844,0.474500092,307.2010064,289.5687178,286.5833884,48.0059899,1.172331479,0,0
2017?18,Bharuch,20.84693252,0.228311172,307.5138121,289.2949425,287.0418694,49.40062063,1.736337109,0,0
2018?19,Bharuch,17.70828657,0.363014156,307.5444381,289.5954348,285.3133658,43.69499252,0.103009973,0,0
2019-20,Bharuch,36.67941614,0.475644663,305.9842233,290.3202968,288.7306408,55.91137249,4.491366345,0,0
2020-21,Bharuch,27.85290967,0.45048364,307.1232803,288.6878392,287.0543715,50.92989538,2.5507467,0,0
2021-22,Bharuch,29.18044037,0.289267628,305.7154458,288.75899,287.2060503,53.52889861,3.462409176,0,0
2014-15,Bhavnagar,19.75029649,0.402091148,307.2006068,289.9049916,286.2722099,46.5754405,4.877886073,2.92,1.97
2015-16,Bhavnagar,15.18743309,0.162470798,308.0535269,290.075258,285.0657953,41.74858036,0.676389532,2.05,1.4
2016?17,Bhavnagar,22.13645791,0.488435341,307.879559,289.3683202,284.9394466,42.49563231,1.055092164,1.53,1.14
2017?18,Bhavnagar,19.64928774,0.473175073,307.7563002,288.787514,285.6720266,45.53513115,1.636611972,1.23,0.97
2018?19,Bhavnagar,13.39930794,0.424274143,308.4571166,291.1524502,283.6100026,36.28992696,0.10144885,0.36,0.21
2019-20,Bhavnagar,35.49969393,0.348381764,306.2013907,289.9427806,287.607072,52.2636952,4.532630229,2.9,2.26
2020-21,Bhavnagar,27.00777473,0.424029752,307.3489423,287.9982943,285.6629624,47.1593885,0.871212162,3.36,2.83
2021-22,Bhavnagar,27.65169375,0.491602811,305.9781844,289.7031822,286.0625094,47.92931564,2.916631131,4.59,3.31
2014-15,Botad,21.79497317,0.416762708,307.9478163,289.3516536,284.636798,41.59094691,4.520071492,20.22,10.63
2015-16,Botad,14.80614865,0.367339944,308.4913175,288.7592926,283.3341218,38.19604034,0.447890042,14.56,8.39
2016?17,Botad,19.08579239,0.301187653,308.802643,289.495452,283.2889778,36.91908428,1.055963361,2.65,1.17
2017?18,Botad,20.42202052,0.353495607,308.4688885,287.5900081,283.7061577,40.5671841,0.90946518,11.44,6.11
2018?19,Botad,11.54220134,0.473346452,308.994251,288.698936,281.9776047,34.41433531,0.146715882,13.29,6.3
2019-20,Botad,38.40264869,0.43115344,306.7178483,288.1593629,286.1582568,49.40243792,3.696990147,27.55,13.52
2020-21,Botad,29.59211203,0.332414969,307.8080566,286.5027476,284.0493448,43.72922674,0.643683504,46.69,28.52
2021-22,Botad,30.38586128,0.416712426,306.629988,285.2785257,284.3710302,48.02405935,4.262255693,18.48,9.1
2014-15,Chhotaudepur,27.16666619,0.495509692,307.523152,288.7640464,285.9775352,46.81137465,6.615258303,0,0
2015-16,Chhotaudepur,20.82806429,0.481477475,308.5306593,287.8987207,284.844343,43.26843923,1.357588618,0,0
2016?17,Chhotaudepur,29.56734089,0.358100599,307.4810036,287.0557911,285.0508349,46.4102505,1.583320194,0,0
2017?18,Chhotaudepur,25.31832532,0.418633565,307.8598581,288.3341362,285.0865519,44.27412039,2.316432727,0,0
2018?19,Chhotaudepur,24.79981523,0.480615803,307.9590075,289.3239587,283.7359075,39.19619295,0.21156654,0,0
2019-20,Chhotaudepur,42.60952165,0.493874608,306.0565503,287.6496191,287.6241993,56.27860323,6.929533579,0,0
2020-21,Chhotaudepur,34.353043,0.422804245,307.1459933,286.3556722,286.0121517,50.99357401,5.713241009,0,0
2021-22,Chhotaudepur,39.52322162,0.408786884,305.8298832,287.5882846,285.7463303,50.23972499,5.745612994,0,0
2014-15,Dang,28.19260871,0.378021872,308.6186565,288.5672237,287.4848566,50.27260271,6.572828451,0,0
2015-16,Dang,18.36013685,0.381694777,308.7732544,287.7454745,287.9038575,52.68363079,2.999992334,0,0
2016?17,Dang,24.17887822,0.498754907,308.610359,288.0130875,286.2913849,47.30598711,1.4302903,0,0
2017?18,Dang,22.4552277,0.482374153,308.3789773,287.2285532,287.5332024,52.8532768,2.122809462,0,0
2018?19,Dang,16.4118755,0.294213911,308.5438374,287.836768,285.806482,46.16165469,0.846269184,0,0
2019-20,Dang,43.61464434,0.445001255,307.200451,289.0172696,289.4940333,58.8543565,6.978205174,0,0
2020-21,Dang,33.36264321,0.482202704,308.0261324,288.8961483,288.266108,53.28339473,7.928754895,0,0
2021-22,Dang,36.04228949,0.492023716,306.5391087,289.7142099,288.176951,54.04263208,7.894882804,0,0
2014-15,Devbhumi Dwarka,17.3023866,0.361513662,305.6107013,288.8374206,288.7808377,59.28750113,1.593041866,0,0
2015-16,Devbhumi Dwarka,11.6811078,0.479907964,306.1099478,290.5561158,288.6066813,54.87633297,0.534756876,0,0
2016?17,Devbhumi Dwarka,19.23412382,0.160299161,305.3279572,289.2533623,288.8433645,59.28810546,2.243074872,0,0
2017?18,Devbhumi Dwarka,18.17419398,0.499441675,306.3822985,288.1378413,289.2160356,60.82726806,0.179827782,0,0
2018?19,Devbhumi Dwarka,11.00257417,0.477069791,305.4172915,290.5731408,287.7588956,53.0204752,0.472634934,0,0
2019-20,Devbhumi Dwarka,34.88136415,0.472165419,304.7215413,289.0627103,288.6942732,60.14582101,1.47419655,0,0
2020-21,Devbhumi Dwarka,23.36696308,0.360733604,305.2939696,289.5235396,288.1844968,56.43530531,0.509652899,0,0
2021-22,Devbhumi Dwarka,30.33781628,0.464655782,304.1864837,288.6950256,288.4396098,60.80130031,3.220794212,0,0
2014-15,Dohad,23.6212621,0.492604718,306.5575729,288.4094077,285.2047943,46.28365105,8.224433974,25.47,19.01
2015-16,Dohad,14.04958309,0.490432289,307.6205749,288.8862939,284.0189641,40.87209601,1.684071681,4.5,2.38
2016?17,Dohad,26.48642058,0.370234167,306.6903265,287.9762412,284.0771647,43.34573839,2.150619769,48.32,18.82
2017?18,Dohad,22.05715012,0.378973923,307.1262351,287.315829,283.6705144,42.47323814,2.398358172,157.12,85.49
2018?19,Dohad,22.87471227,0.406926627,306.9407346,286.4010777,282.9381873,41.80245795,0.331127867,11.24,6.35
2019-20,Dohad,38.5465283,0.483745542,305.0844131,289.3596329,286.80927,52.21583686,7.633640483,1000.69,835.7
2020-21,Dohad,29.88673578,0.439703712,306.3881835,288.6397716,285.148907,46.02966498,8.22171544,885.21,645.93
2021-22,Dohad,34.74990609,0.348388716,305.0541705,287.6902013,284.8945751,48.47652167,8.881297135,570.54,337.78
2014-15,Gandhinagar,26.1546978,0.425662486,307.0580685,289.2043363,285.4717151,45.3180095,3.917573673,0,0
2015-16,Gandhinagar,21.57080836,0.513323062,307.6639907,289.5888654,283.9274502,39.73454782,0.142426086,0,0
2016?17,Gandhinagar,25.00314052,0.47727836,307.20451,287.7633055,285.0765418,45.89319066,1.694830956,0.19,0.14
2017?18,Gandhinagar,23.93477608,0.380602914,307.8597362,287.2939137,284.120974,42.84339479,0.586417891,0.26,0.21
2018?19,Gandhinagar,23.83187677,0.402485879,307.8333567,288.948614,282.7635318,37.27846223,0.162843294,0.04,0.02
2019-20,Gandhinagar,42.42142021,0.484169244,305.6682703,288.9555685,286.5943127,51.21431789,4.717804678,0.02,0.02
2020-21,Gandhinagar,27.56531056,0.502904189,306.8829267,287.3219104,285.016487,46.76822816,0.535038582,0.06,0.05
2021-22,Gandhinagar,30.40304509,0.44219653,305.6786362,287.1816145,285.0277556,48.73367911,4.091191563,0.06,0.04
2014-15,Gir Somnath,32.12439691,0.418737517,307.2305784,288.5431352,285.9930653,47.58096617,4.178251234,0.95,0.64
2015-16,Gir Somnath,25.44354199,0.380856772,308.4496567,288.7249288,284.9948135,42.74386839,1.021039994,0,0
2016?17,Gir Somnath,35.6707027,0.416570142,307.8624838,288.9819079,284.7801898,42.55754952,1.097972611,1.45,1.08
2017?18,Gir Somnath,31.29413017,0.495890834,307.7758313,289.6476111,285.5355171,43.96648919,1.699612774,0.61,0.48
2018?19,Gir Somnath,28.94094066,0.519289437,308.0026758,290.7221724,283.9371221,38.06732884,0.248189908,0.03,0.02
2019-20,Gir Somnath,45.20391221,0.297214723,305.8769084,289.3686934,287.4894821,53.2765653,4.518159719,0.2,0.16
2020-21,Gir Somnath,36.50512288,0.437412058,307.1196172,288.4758144,285.6625157,46.81001829,0.801818435,0.1,0.08
2021-22,Gir Somnath,39.3280988,0.503408746,305.6452242,289.7175519,286.1568966,48.68647967,3.646807565,0,0
2014-15,Jamnagar,15.82600756,0.482624628,307.401898,288.2121719,285.6447741,46.72959136,2.689407284,27.82,19.13
2015-16,Jamnagar,11.4683702,0.36497994,307.7680244,289.4735315,284.8462031,42.24285482,0.376085361,8.84,6.39
2016?17,Jamnagar,19.37729076,0.452272535,307.6744115,289.3390451,284.8494289,42.53861485,1.552558481,18.89,14.02
2017?18,Jamnagar,18.77928846,0.178489462,307.8000771,289.6157002,285.3673122,43.49316907,0.338754761,50.16,38.71
2018?19,Jamnagar,10.8639997,0.512907579,307.4686332,289.3361699,283.7854394,39.88747233,0.267593074,29.35,20.71
2019-20,Jamnagar,35.54263352,0.507802385,305.8695032,289.9695668,286.6493273,49.56584756,2.813075338,165.41,137.9
2020-21,Jamnagar,25.15015727,0.470544228,306.6542599,287.1627737,285.1731403,47.80656621,0.806340874,235.41,224.46
2021-22,Jamnagar,27.8441864,0.382103629,305.6523085,287.6445626,285.5460885,49.7653987,4.041153276,110.83,92.37
2014-15,Junagadh,31.69681251,0.466595632,307.6123208,287.0713058,285.0902287,46.32678226,3.755437364,115.7,91.39
2015-16,Junagadh,21.01317088,0.520257641,308.6086677,285.3274747,283.9555047,43.94846073,1.037926637,14.9,12.29
2016?17,Junagadh,34.09946133,0.483762607,308.212343,288.3645311,283.6302204,39.74527311,1.033351977,56.6,51.35
2017?18,Junagadh,27.38488967,0.390651737,308.1268289,288.2091961,284.2741403,41.78213308,0.813386794,90.51,70.73
2018?19,Junagadh,23.81476425,0.369873899,308.7452743,287.969003,282.3988894,36.4488204,0.207608994,188.05,235.77
2019-20,Junagadh,48.18561243,0.417541066,306.3198537,287.6694657,286.5414691,52.01841582,3.974390529,94.81,145.95
2020-21,Junagadh,37.24648462,0.505320399,307.2101094,287.7521179,284.5928046,44.45801277,0.784152427,69.04,68.64
2021-22,Junagadh,40.19709925,0.463954056,305.9604304,288.6931458,285.1757202,46.63031259,4.075050416,59.4,61.19
2014-15,Kachchh,8.110815379,0.381840066,307.8426702,287.3050231,283.7855482,41.90585387,1.410724515,58.32,39.93
2015-16,Kachchh,9.578664245,0.467890534,307.7345101,287.7868325,283.3101733,40.14733627,0.226637879,331.25,248.87
2016?17,Kachchh,9.932285486,0.521801799,307.5389262,287.8351969,284.2085521,42.81037629,2.132387179,232.39,181.84
